FID;Id;LAT_GMS;LONG_GMS;LAT_GD;LONG_GD;TIPO_OCO;PROPR;DATA;MUNC;POLO
67;0;2° 9' 25,907034"" S;48° 24' 12,720957"" W;-2,157196400000000;-48,403533600000003;Ameaça/Agressão;Xavier;14/06/2022 00:00:00;Acará;Vera Cruz
68;0;2° 43' 30,720000"" S;48° 24' 5,760000"" W;-2,725200000000000;-48,401600000000002;Ameaça/Agressão;Chapadao II parcela III;23/06/2022 00:00:00;Tomé-Açu;Tomé-Açu
69;0;2° 4' 33,240000"" S;48° 47' 36,959999"" W;-2,075900000000000;-48,793599999999998;Invasão;Formosa II;07/01/2022 00:00:00;Moju;Moju
70;0;2° 12' 30,240000"" S;48° 55' 16,680000"" W;-2,208400000000000;-48,921300000000002;Crime Ambiental;Amanda;18/01/2022 00:00:00;Moju;Moju
71;0;2° 13' 4,800000"" S;48° 49' 38,280000"" W;-2,218000000000000;-48,827300000000001;Outros;Amanda;25/01/2022 00:00:00;Moju;Moju
72;0;1° 50' 41,809200"" S;48° 46' 7,168800"" W;-1,844947000000000;-48,768658000000002;Invasão;Sul Catarinense;28/01/2022 00:00:00;Abaetetuba;Moju
73;0;1° 50' 52,422792"" S;48° 46' 14,012229"" W;-1,847895220000000;-48,770558950000002;Outros;Sul Catarinense;28/01/2022 00:00:00;Abaetetuba;Moju
74;0;2° 13' 26,787000"" S;48° 56' 19,905000"" W;-2,224107500000000;-48,938862499999999;Invasão;Amanda;23/02/2022 00:00:00;Moju;Moju
75;0;2° 5' 0,198600"" S;49° 17' 37,113000"" W;-2,083388500000000;-49,293642499999997;Roubo/Furto;Formosa II;24/02/2022 00:00:00;Moju;Moju
76;0;2° 10' 50,944616"" S;48° 53' 5,462954"" W;-2,180817950000000;-48,884850819999997;Roubo/Furto;Amanda;07/04/2022 00:00:00;Moju;Moju
77;0;2° 16' 32,583000"" S;48° 50' 58,588800"" W;-2,275717500000000;-48,849608000000003;Roubo/Furto;Amanda;17/05/2022 00:00:00;Moju;Moju
78;0;2° 13' 53,381946"" S;48° 51' 41,387949"" W;-2,231494990000000;-48,861496649999999;Roubo/Furto;Amanda;20/05/2022 00:00:00;Moju;Moju
79;0;2° 13' 41,494463"" S;48° 54' 7,800550"" W;-2,228192910000000;-48,902166819999998;Roubo/Furto;Amanda;26/05/2022 00:00:00;Moju;Moju
80;0;2° 12' 18,571158"" S;48° 52' 35,149617"" W;-2,205158660000000;-48,876430450000001;Roubo/Furto;Amanda;13/06/2022 00:00:00;Moju;Moju
81;0;2° 12' 21,190449"" S;48° 52' 42,222963"" W;-2,205886240000000;-48,878395269999999;Roubo/Furto;Amanda;15/06/2022 00:00:00;Moju;Moju
